customer_id,segment_name,R,F,M,RFM_score,recency_days,frequency_180d,monetary_180d,ticket_count_90d,avg_discount_pct_180d,sessions_30d,return_rate_180d,negative_ticket_rate_90d,last_visit_days_ago,last_campaign_received,manual_priority_bucket,churn_next_60d
CUST00044,Needs Attention,3,1,3,7,72,1,899.51,0,0.29,6,0.0,0.0,10,welcome_offer,medium,0
CUST00045,Needs Attention,2,1,2,5,96,1,413.75,0,0.33,6,0.0,0.0,10,welcome_offer,high,1
CUST00046,Needs Attention,2,1,2,5,127,1,489.87,0,0.13,7,0.0,0.0,29,new_launch,high,1
CUST00047,Dormant,1,1,1,3,204,0,0.0,0,0.0,2,0.0,0.0,36,free_shipping,high,1
CUST00048,Loyal Customers,3,5,5,13,61,4,2450.45,0,0.312,12,0.25,0.0,12,none,medium,0
CUST00049,Promising New,5,1,2,8,8,1,380.83,0,0.47,4,0.0,0.0,0,new_launch,low,0
CUST00050,Loyal Customers,5,3,5,13,0,2,2026.54,0,0.3,3,0.5,0.0,0,bundle_discount,low,0
CUST00051,Dormant,1,1,1,3,210,0,0.0,0,0.0,6,0.0,0.0,35,new_launch,high,1
CUST00052,Loyal Customers,3,3,4,10,55,2,1820.53,0,0.19,7,0.0,0.0,8,free_shipping,medium,1
CUST00053,Champions,4,5,5,14,25,3,2063.87,1,0.457,9,0.0,1.0,5,welcome_offer,medium,0
CUST00054,Promising New,5,1,2,8,6,1,489.85,0,0.25,3,0.0,0.0,0,welcome_offer,low,0
CUST00055,Champions,5,5,4,14,3,3,1308.35,0,0.247,6,0.0,0.0,0,new_launch,low,0
CUST00056,Champions,5,5,5,15,9,3,3150.69,1,0.287,3,0.0,0.0,0,new_launch,medium,0
CUST00057,Needs Attention,2,1,4,7,136,1,1713.34,0,0.14,7,0.0,0.0,29,none,high,1
CUST00058,Promising New,4,1,2,7,42,1,644.61,0,0.21,2,0.0,0.0,6,new_launch,medium,0
CUST00059,Loyal Customers,5,3,4,12,2,2,1447.55,0,0.32,3,0.0,0.0,2,new_launch,low,0
CUST00060,Discount Sensitive,2,1,1,4,145,1,293.22,0,0.36,5,0.0,0.0,20,none,high,1
CUST00061,Champions,5,5,4,14,14,3,1632.4,1,0.407,4,0.0,1.0,15,welcome_offer,medium,0
CUST00062,Champions,4,5,5,14,21,3,2295.98,0,0.247,9,0.0,0.0,0,welcome_offer,low,0
CUST00063,Dormant,1,1,1,3,216,0,0.0,0,0.0,0,0.0,0.0,24,bundle_discount,high,1
CUST00064,Promising New,5,1,2,8,2,1,654.93,0,0.43,8,0.0,0.0,0,free_shipping,low,0
CUST00065,Promising New,5,1,5,11,6,1,1911.67,0,0.0,3,0.0,0.0,0,bundle_discount,low,0
CUST00066,Dormant,1,1,1,3,320,0,0.0,0,0.0,11,0.0,0.0,60,bundle_discount,high,1
CUST00067,Loyal Customers,3,3,4,10,63,2,1246.44,1,0.2,1,0.5,0.0,5,welcome_offer,medium,1
CUST00068,Dormant,1,1,1,3,346,0,0.0,0,0.0,5,0.0,0.0,60,bundle_discount,high,1
CUST00069,Loyal Customers,4,3,3,10,29,2,874.47,0,0.225,9,0.0,0.0,0,bundle_discount,low,1
CUST00070,Promising New,4,1,2,7,38,1,542.98,0,0.34,1,0.0,0.0,18,none,high,1
CUST00071,Promising New,4,1,5,10,32,1,2062.5,1,0.08,1,0.0,1.0,12,free_shipping,high,1
CUST00072,At-Risk,2,3,4,9,90,2,1697.84,0,0.21,7,0.0,0.0,26,none,high,1
CUST00073,Loyal Customers,5,3,3,11,8,2,1150.72,0,0.235,7,0.0,0.0,0,none,low,0
CUST00074,Promising New,5,1,3,9,7,1,824.34,1,0.23,14,1.0,1.0,22,new_launch,medium,0
CUST00075,Champions,5,5,4,14,3,3,1287.45,0,0.297,10,0.0,0.0,13,none,low,0
CUST00076,Loyal Customers,5,3,4,12,20,2,1385.27,0,0.22,17,0.0,0.0,8,bundle_discount,low,0
CUST00077,Discount Sensitive,2,1,2,5,109,1,394.32,0,0.36,0,0.0,0.0,20,welcome_offer,high,1
CUST00078,Discount Sensitive,2,1,3,6,139,1,894.45,0,0.42,5,1.0,0.0,38,welcome_offer,high,1
CUST00079,Dormant,1,1,1,3,191,0,0.0,0,0.0,2,0.0,0.0,31,none,high,1
CUST00080,Needs Attention,3,1,4,8,50,1,1461.68,0,0.11,11,0.0,0.0,3,none,medium,0
CUST00081,Champions,5,5,5,15,19,5,3417.32,0,0.202,12,0.0,0.0,0,bundle_discount,low,0
CUST00082,Dormant,1,1,1,3,254,0,0.0,0,0.0,7,0.0,0.0,44,none,high,1
CUST00083,At-Risk,2,3,3,8,89,2,806.87,1,0.335,9,0.5,1.0,17,bundle_discount,high,1
CUST00084,Dormant,1,1,4,6,167,1,1273.18,0,0.12,11,0.0,0.0,34,bundle_discount,high,1
CUST00085,Promising New,5,1,4,10,14,1,1257.8,0,0.2,8,0.0,0.0,0,none,low,1
CUST00086,Champions,4,5,4,13,21,4,1741.15,1,0.268,7,0.0,1.0,0,welcome_offer,medium,0
CUST00087,Promising New,4,1,3,8,44,1,933.58,0,0.38,1,0.0,0.0,15,new_launch,high,0
CUST00088,At-Risk,2,3,3,8,98,2,1169.14,0,0.43,9,0.0,0.0,18,new_launch,high,1
CUST00089,Dormant,1,1,4,6,165,1,1513.5,0,0.4,12,0.0,0.0,31,none,high,1
CUST00090,Loyal Customers,3,5,5,13,80,4,1966.31,0,0.375,5,0.0,0.0,36,new_launch,high,0
CUST00091,Discount Sensitive,2,1,1,4,90,1,311.34,0,0.36,9,0.0,0.0,11,free_shipping,high,0
CUST00092,Promising New,4,1,2,7,21,1,430.85,0,0.26,1,0.0,0.0,3,new_launch,high,0
CUST00093,Needs Attention,3,1,3,7,85,1,759.64,0,0.12,16,0.0,0.0,21,none,high,1
CUST00094,Dormant,1,1,1,3,183,0,0.0,0,0.0,6,0.0,0.0,60,new_launch,high,1
CUST00095,Discount Sensitive,3,1,1,5,65,1,372.65,1,0.41,10,0.0,1.0,7,welcome_offer,medium,1
CUST00096,Loyal Customers,3,3,4,10,61,2,1414.75,0,0.325,12,0.5,0.0,15,new_launch,medium,0
CUST00097,Champions,5,5,5,15,1,3,2946.09,0,0.41,0,0.0,0.0,0,new_launch,low,0
CUST00098,Dormant,1,1,1,3,184,0,0.0,0,0.0,8,0.0,0.0,49,bundle_discount,high,1
CUST00099,At-Risk,2,3,4,9,144,2,1471.51,0,0.105,4,0.0,0.0,27,welcome_offer,high,0
CUST00100,Needs Attention,3,1,1,5,70,1,372.37,0,0.29,1,0.0,0.0,29,bundle_discount,high,0
CUST00101,At-Risk,2,3,4,9,108,2,1240.21,0,0.255,2,0.0,0.0,27,free_shipping,high,1
CUST00102,Needs Attention,3,1,3,7,83,1,732.65,0,0.16,2,0.0,0.0,7,welcome_offer,high,0
CUST00103,Promising New,4,1,4,9,21,1,1469.96,0,0.08,6,0.0,0.0,0,none,low,0
CUST00104,Needs Attention,2,1,3,6,93,1,955.63,0,0.31,3,0.0,0.0,27,bundle_discount,high,1
CUST00105,Promising New,4,1,5,10,46,1,2052.43,0,0.18,1,0.0,0.0,3,new_launch,high,0
CUST00106,Needs Attention,3,1,2,6,61,1,436.15,0,0.24,5,0.0,0.0,21,bundle_discount,medium,1
CUST00107,Loyal Customers,5,3,4,12,12,2,1658.13,0,0.125,2,0.0,0.0,10,free_shipping,low,0
CUST00108,Promising New,4,1,3,8,44,1,1074.5,1,0.22,5,1.0,1.0,11,new_launch,medium,1
CUST00109,At-Risk,2,3,4,9,92,2,1622.28,0,0.255,1,0.0,0.0,16,free_shipping,high,0
CUST00110,Champions,4,5,5,14,35,3,2424.8,2,0.233,4,0.0,0.5,8,new_launch,medium,1
CUST00111,Dormant,1,1,3,5,178,1,1135.09,0,0.23,3,0.0,0.0,33,welcome_offer,high,1
CUST00112,Champions,5,5,5,15,0,4,2225.98,0,0.3,4,0.0,0.0,0,welcome_offer,low,0
CUST00113,Loyal Customers,4,3,4,11,28,2,1601.31,0,0.385,17,0.0,0.0,2,free_shipping,low,0
CUST00114,Dormant,1,1,1,3,239,0,0.0,0,0.0,3,0.0,0.0,41,new_launch,high,1
CUST00115,Dormant,1,1,2,4,159,1,596.54,0,0.14,12,0.0,0.0,23,welcome_offer,high,1
CUST00116,Needs Attention,2,1,2,5,143,1,452.08,0,0.27,10,0.0,0.0,26,new_launch,high,1
CUST00117,At-Risk,2,3,4,9,123,2,1268.88,0,0.28,2,0.0,0.0,27,bundle_discount,high,1
CUST00118,Promising New,4,1,3,8,27,1,689.56,0,0.18,2,0.0,0.0,1,none,low,0
CUST00119,Needs Attention,3,1,5,9,69,1,2019.98,1,0.25,12,0.0,0.0,1,free_shipping,medium,0
CUST00120,Promising New,4,1,1,6,26,1,261.95,0,0.27,6,0.0,0.0,5,bundle_discount,low,0
CUST00121,Loyal Customers,4,3,5,12,27,2,2496.03,0,0.19,5,0.0,0.0,2,free_shipping,low,0
CUST00122,At-Risk,2,3,5,10,106,2,2048.93,0,0.36,10,0.0,0.0,30,none,high,1
CUST00123,At-Risk,2,5,5,12,102,4,2117.52,0,0.335,2,0.0,0.0,23,new_launch,high,0
CUST00124,Dormant,1,1,1,3,194,0,0.0,0,0.0,5,0.0,0.0,43,new_launch,high,1
CUST00125,Loyal Customers,5,3,4,12,8,2,1698.4,0,0.395,0,0.0,0.0,0,none,low,0
CUST00126,Discount Sensitive,3,1,3,7,57,1,919.95,0,0.6,5,0.0,0.0,3,new_launch,medium,1
CUST00127,Loyal Customers,4,3,3,10,24,2,729.55,0,0.295,3,0.0,0.0,15,welcome_offer,low,0
CUST00128,Loyal Customers,5,3,4,12,19,2,1716.68,0,0.42,15,0.0,0.0,0,free_shipping,low,0
CUST00129,Loyal Customers,3,5,5,13,83,3,3369.08,1,0.313,7,0.333,0.0,2,bundle_discount,high,0
CUST00130,Discount Sensitive,2,1,4,7,88,1,1272.47,0,0.48,9,0.0,0.0,12,new_launch,high,0
CUST00131,Needs Attention,3,1,5,9,67,1,2157.15,0,0.17,4,0.0,0.0,14,welcome_offer,medium,1
CUST00132,Needs Attention,2,1,4,7,117,1,1621.76,0,0.18,1,0.0,0.0,24,welcome_offer,high,1
CUST00133,Loyal Customers,3,5,5,13,54,6,4776.26,0,0.365,5,0.0,0.0,12,free_shipping,medium,0
CUST00134,Loyal Customers,4,3,4,11,35,2,1527.11,0,0.3,11,0.5,0.0,4,new_launch,low,0
CUST00135,Dormant,1,1,1,3,333,0,0.0,0,0.0,3,0.0,0.0,60,new_launch,high,1
CUST00136,Needs Attention,3,1,2,6,71,1,514.9,0,0.3,7,0.0,0.0,15,new_launch,medium,1
CUST00137,At-Risk,1,3,3,7,177,2,1035.87,0,0.315,4,0.0,0.0,31,none,high,1
CUST00138,Discount Sensitive,3,1,3,7,61,1,905.11,0,0.46,5,0.0,0.0,24,bundle_discount,medium,0
CUST00139,Loyal Customers,4,3,4,11,28,2,1715.4,2,0.295,5,0.0,1.0,10,none,medium,0
CUST00140,Champions,5,5,5,15,6,3,3416.05,1,0.247,14,0.0,0.0,12,new_launch,medium,0
CUST00141,Promising New,4,1,2,7,28,1,647.85,0,0.23,4,0.0,0.0,0,none,low,0
CUST00142,Dormant,1,1,1,3,169,1,369.26,0,0.37,2,0.0,0.0,41,new_launch,high,1
CUST00143,Champions,4,5,5,14,32,3,4028.8,0,0.14,5,0.0,0.0,9,free_shipping,low,0
CUST00144,At-Risk,2,3,3,8,86,2,928.58,1,0.295,8,0.0,1.0,17,free_shipping,high,0
CUST00145,Promising New,4,1,2,7,30,1,502.35,0,0.11,0,0.0,0.0,0,none,high,1
CUST00146,Needs Attention,2,1,3,6,108,1,986.21,0,0.31,4,0.0,0.0,30,free_shipping,high,0
CUST00147,Loyal Customers,3,5,5,13,84,3,2809.32,0,0.183,1,0.0,0.0,29,new_launch,high,0
CUST00148,Champions,5,5,5,15,4,3,1990.51,0,0.25,5,0.0,0.0,8,bundle_discount,low,0
CUST00149,Promising New,5,1,3,9,8,1,787.94,0,0.2,8,0.0,0.0,0,bundle_discount,low,0
CUST00150,Loyal Customers,4,3,3,10,45,2,1008.65,0,0.375,6,0.0,0.0,7,welcome_offer,medium,0
CUST00151,Loyal Customers,3,5,5,13,62,3,2844.17,0,0.173,7,0.0,0.0,4,none,medium,0
CUST00152,Champions,4,5,5,14,46,3,2730.26,3,0.367,19,0.0,1.0,7,bundle_discount,medium,0
CUST00153,Promising New,5,1,3,9,3,1,977.12,0,0.37,6,0.0,0.0,0,welcome_offer,low,0
CUST00154,Champions,5,5,5,15,10,4,3935.38,0,0.24,8,0.0,0.0,2,new_launch,low,0
CUST00155,Champions,5,5,5,15,2,3,2024.8,0,0.397,6,0.0,0.0,11,none,low,0
CUST00156,Loyal Customers,4,3,5,12,34,2,4241.75,1,0.145,14,0.5,0.0,0,welcome_offer,medium,0
CUST00157,Promising New,5,1,2,8,0,1,376.83,0,0.22,3,0.0,0.0,5,welcome_offer,low,1
CUST00158,Dormant,1,1,3,5,155,1,812.34,0,0.25,8,0.0,0.0,32,free_shipping,high,1
CUST00159,Dormant,1,1,1,3,474,0,0.0,0,0.0,0,0.0,0.0,60,free_shipping,high,1
CUST00160,Dormant,1,1,2,4,177,1,433.18,0,0.23,4,0.0,0.0,37,welcome_offer,high,1
CUST00161,Champions,5,5,4,14,20,3,1738.05,0,0.293,7,0.0,0.0,0,welcome_offer,low,0
CUST00162,At-Risk,2,3,4,9,91,2,1194.59,0,0.29,2,0.0,0.0,28,none,high,1
CUST00163,Discount Sensitive,3,1,1,5,70,1,275.41,0,0.37,3,0.0,0.0,19,free_shipping,medium,0
CUST00164,Dormant,1,1,1,3,222,0,0.0,0,0.0,1,0.0,0.0,57,free_shipping,high,1
CUST00165,At-Risk,2,5,4,11,103,3,1825.77,0,0.31,2,0.0,0.0,15,welcome_offer,high,0
CUST00166,Promising New,5,1,4,10,15,1,1269.41,1,0.37,1,0.0,0.0,7,new_launch,high,0
CUST00167,Dormant,1,1,1,3,219,0,0.0,0,0.0,0,0.0,0.0,31,bundle_discount,high,1
CUST00168,Loyal Customers,3,3,5,11,85,2,2194.93,0,0.01,2,0.0,0.0,29,bundle_discount,high,0
CUST00169,Dormant,1,1,1,3,222,0,0.0,0,0.0,1,0.0,0.0,45,new_launch,high,1
CUST00170,Loyal Customers,5,3,4,12,9,2,1708.22,0,0.22,5,0.0,0.0,0,new_launch,low,0
CUST00171,Promising New,5,1,3,9,12,1,1077.78,0,0.38,9,0.0,0.0,3,none,low,0
CUST00172,Promising New,5,1,4,10,8,1,1366.0,1,0.39,5,0.0,0.0,0,new_launch,medium,0
CUST00173,Needs Attention,3,1,1,5,79,1,225.12,0,0.27,10,0.0,0.0,2,bundle_discount,high,0
CUST00174,Discount Sensitive,2,1,1,4,86,1,168.97,0,0.42,14,0.0,0.0,24,free_shipping,high,0
CUST00175,Loyal Customers,3,3,4,10,59,2,1378.77,0,0.21,5,0.0,0.0,14,free_shipping,medium,1
CUST00176,Champions,4,5,5,14,37,3,3830.31,0,0.343,12,0.0,0.0,17,bundle_discount,medium,0
CUST00177,Discount Sensitive,3,1,1,5,82,1,255.04,0,0.42,12,0.0,0.0,28,free_shipping,high,0
CUST00178,Loyal Customers,5,3,4,12,5,2,1583.88,2,0.165,10,1.0,1.0,0,none,medium,0
CUST00179,Champions,4,5,4,13,38,3,1585.62,2,0.443,11,0.0,0.5,21,free_shipping,medium,0
CUST00180,At-Risk,2,3,4,9,96,2,1570.85,0,0.26,9,0.5,0.0,18,welcome_offer,high,1
CUST00181,Promising New,5,1,3,9,6,1,1107.73,0,0.0,7,0.0,0.0,0,free_shipping,low,0
CUST00182,Promising New,4,1,1,6,31,1,305.3,0,0.31,12,0.0,0.0,0,none,low,0
CUST00183,Dormant,1,1,4,6,152,1,1689.98,0,0.18,1,0.0,0.0,26,free_shipping,high,1
CUST00184,Champions,5,5,5,15,14,3,2456.91,0,0.287,6,0.0,0.0,6,none,low,1
CUST00185,At-Risk,2,3,3,8,114,2,866.52,0,0.315,11,0.0,0.0,27,new_launch,high,0
CUST00186,Promising New,4,1,3,8,41,1,714.65,1,0.33,2,0.0,0.0,5,none,medium,0
CUST00187,Discount Sensitive,1,1,2,4,149,1,491.11,0,0.5,0,0.0,0.0,17,none,high,0
CUST00188,Loyal Customers,4,3,4,11,29,2,1880.31,1,0.23,11,0.0,1.0,5,bundle_discount,medium,1
CUST00189,Needs Attention,2,1,2,5,140,1,574.39,0,0.32,10,0.0,0.0,27,new_launch,high,0
CUST00190,Promising New,5,1,2,8,6,1,482.88,1,0.13,6,0.0,1.0,5,free_shipping,medium,0
CUST00191,Promising New,4,1,1,6,28,1,149.0,0,0.34,6,0.0,0.0,11,welcome_offer,low,0
CUST00192,Loyal Customers,3,5,5,13,55,3,2263.95,0,0.28,8,0.0,0.0,30,none,medium,0
CUST00193,Dormant,1,1,2,4,157,1,424.74,0,0.21,3,0.0,0.0,30,free_shipping,high,1
CUST00194,Loyal Customers,3,5,5,13,80,3,2967.67,1,0.407,13,0.333,0.0,3,none,high,0
CUST00195,Promising New,4,1,2,7,23,1,654.27,1,0.17,5,0.0,1.0,0,new_launch,medium,0
CUST00196,Loyal Customers,4,3,4,11,24,2,1272.38,1,0.28,1,0.0,1.0,12,free_shipping,medium,1
CUST00197,Loyal Customers,5,3,5,13,15,2,2989.16,1,0.305,11,0.0,1.0,10,bundle_discount,medium,0
CUST00198,Champions,4,5,5,14,37,4,4324.83,0,0.273,1,0.0,0.0,6,new_launch,medium,0
CUST00199,Champions,5,5,5,15,6,4,3273.56,1,0.227,3,0.0,1.0,0,welcome_offer,medium,0
CUST00200,Champions,5,5,5,15,15,3,3726.66,0,0.123,7,0.0,0.0,2,none,low,0
CUST00201,Needs Attention,2,1,2,5,93,1,598.21,1,0.14,3,0.0,0.0,12,none,high,1
CUST00202,Needs Attention,2,1,4,7,141,1,1220.26,0,0.33,9,0.0,0.0,40,bundle_discount,high,0
CUST00203,At-Risk,2,3,3,8,114,2,743.35,0,0.39,6,0.0,0.0,28,welcome_offer,high,1
CUST00204,Promising New,4,1,2,7,42,1,519.21,0,0.28,17,0.0,0.0,4,welcome_offer,medium,0
CUST00205,Champions,4,5,4,13,30,3,1548.05,0,0.25,13,0.0,0.0,0,none,low,0
CUST00206,At-Risk,2,3,3,8,118,2,831.29,0,0.375,7,0.0,0.0,38,bundle_discount,high,1
CUST00207,Promising New,5,1,1,7,18,1,193.1,0,0.62,11,0.0,0.0,7,none,low,1
CUST00208,At-Risk,2,5,5,12,91,4,3282.3,1,0.18,2,0.0,1.0,24,free_shipping,high,1
CUST00209,Dormant,1,1,1,3,279,0,0.0,0,0.0,3,0.0,0.0,46,bundle_discount,high,1
CUST00210,Discount Sensitive,2,1,2,5,128,1,409.67,0,0.41,3,0.0,0.0,38,none,high,1
CUST00211,At-Risk,2,3,5,10,90,2,3032.55,0,0.38,4,0.0,0.0,9,bundle_discount,high,0
CUST00212,Dormant,1,1,1,3,204,0,0.0,0,0.0,3,0.0,0.0,45,new_launch,high,1
CUST00213,Needs Attention,2,1,4,7,86,1,1266.34,1,0.09,2,1.0,1.0,15,bundle_discount,high,1
CUST00214,Needs Attention,3,1,4,8,64,1,1427.16,0,0.22,3,0.0,0.0,14,free_shipping,medium,1
CUST00215,Promising New,4,1,2,7,34,1,646.51,0,0.01,8,0.0,0.0,15,none,low,1
CUST00216,Needs Attention,3,1,4,8,48,1,1349.42,1,0.27,7,1.0,1.0,16,free_shipping,medium,1
CUST00217,Loyal Customers,3,3,3,9,79,2,861.18,0,0.36,2,0.0,0.0,13,bundle_discount,high,1
CUST00218,Promising New,4,1,3,8,23,1,713.95,0,0.11,1,0.0,0.0,5,none,high,0
CUST00219,At-Risk,1,3,4,8,154,2,1225.24,0,0.47,3,0.0,0.0,30,welcome_offer,high,1
CUST00220,Loyal Customers,4,3,3,10,25,2,745.67,1,0.19,14,0.0,0.0,10,none,medium,0
CUST00221,Loyal Customers,5,3,3,11,7,2,781.03,0,0.345,16,0.0,0.0,2,welcome_offer,low,0
CUST00222,Dormant,1,1,1,3,186,0,0.0,0,0.0,1,0.0,0.0,22,welcome_offer,high,1
CUST00223,Discount Sensitive,2,1,3,6,103,1,757.58,0,0.53,1,0.0,0.0,20,welcome_offer,high,1
CUST00224,Discount Sensitive,2,1,3,6,89,1,747.2,0,0.4,1,0.0,0.0,13,free_shipping,high,0
CUST00225,At-Risk,2,3,5,10,88,2,2563.85,0,0.335,3,0.0,0.0,19,bundle_discount,high,1
CUST00226,Loyal Customers,3,5,5,13,54,3,2345.42,1,0.157,6,0.333,1.0,34,new_launch,medium,0
CUST00227,Dormant,1,1,3,5,153,1,1070.42,0,0.37,0,0.0,0.0,29,bundle_discount,high,1
CUST00228,Loyal Customers,3,5,4,12,82,3,1343.2,0,0.33,6,0.0,0.0,11,free_shipping,high,1
CUST00229,Needs Attention,2,1,2,5,92,1,558.95,0,0.17,8,0.0,0.0,8,new_launch,high,1
CUST00230,Champions,4,5,5,14,37,6,6235.96,0,0.218,17,0.0,0.0,14,none,medium,0
CUST00231,Promising New,4,1,2,7,23,1,397.92,0,0.29,6,0.0,0.0,0,free_shipping,low,0
CUST00232,Needs Attention,3,1,3,7,55,1,786.26,0,0.33,2,0.0,0.0,1,bundle_discount,medium,0
CUST00233,Dormant,1,1,1,3,361,0,0.0,0,0.0,5,0.0,0.0,60,new_launch,high,1
CUST00234,Loyal Customers,5,3,4,12,17,2,1421.1,0,0.135,6,0.0,0.0,0,welcome_offer,low,0
CUST00235,Needs Attention,2,1,2,5,125,1,556.26,0,0.34,2,0.0,0.0,29,none,high,0
CUST00236,Discount Sensitive,3,1,3,7,62,1,782.89,1,0.37,8,0.0,0.0,8,free_shipping,medium,0
CUST00237,Champions,5,5,5,15,15,4,3607.29,0,0.253,8,0.0,0.0,0,welcome_offer,low,0
CUST00238,Needs Attention,3,1,2,6,78,1,643.9,1,0.33,1,0.0,0.0,8,bundle_discount,high,0
CUST00239,Dormant,1,1,1,3,320,0,0.0,0,0.0,4,0.0,0.0,60,bundle_discount,high,1
CUST00240,Loyal Customers,3,3,5,11,56,2,2277.31,1,0.18,4,0.0,0.0,16,bundle_discount,medium,0
CUST00241,Loyal Customers,5,3,5,13,6,2,2710.93,0,0.37,12,0.0,0.0,0,new_launch,low,0
CUST00242,Loyal Customers,3,5,5,13,82,3,2195.42,0,0.317,11,0.0,0.0,5,none,high,0
CUST00243,Discount Sensitive,3,1,2,6,69,1,444.6,1,0.43,3,1.0,0.0,22,free_shipping,medium,1
CUST00244,At-Risk,2,3,5,10,144,2,2449.86,0,0.225,1,0.0,0.0,23,welcome_offer,high,1
